,score,features_number,model
660,0.0,1,pmelif
661,0.0,1,melif
662,0.0,2,pmelif
663,0.0,2,melif
664,0.1,3,pmelif
665,0.1,3,melif
666,0.1,4,pmelif
667,0.1,4,melif
668,0.1,5,pmelif
669,0.1,5,melif
670,0.1,6,pmelif
671,0.1,6,melif
672,0.1,7,pmelif
673,0.1,7,melif
674,0.1,8,pmelif
675,0.1,8,melif
676,0.1,9,pmelif
677,0.1,9,melif
678,0.2,10,pmelif
679,0.2,10,melif
680,0.0,1,pmelif
681,0.0,1,melif
682,0.0,2,pmelif
683,0.0,2,melif
684,0.0,3,pmelif
685,0.0,3,melif
686,0.0,4,pmelif
687,0.0,4,melif
688,0.0,5,pmelif
689,0.0,5,melif
690,0.0,6,pmelif
691,0.0,6,melif
692,0.0,7,pmelif
693,0.0,7,melif
694,0.0,8,pmelif
695,0.0,8,melif
696,0.0,9,pmelif
697,0.0,9,melif
698,0.0,10,pmelif
699,0.0,10,melif
700,0.0,1,pmelif
701,0.0,1,melif
702,0.0,2,pmelif
703,0.0,2,melif
704,0.0,3,pmelif
705,0.0,3,melif
706,0.0,4,pmelif
707,0.0,4,melif
708,0.0,5,pmelif
709,0.0,5,melif
710,0.0,6,pmelif
711,0.0,6,melif
712,0.0,7,pmelif
713,0.0,7,melif
714,0.0,8,pmelif
715,0.0,8,melif
716,0.0,9,pmelif
717,0.0,9,melif
718,0.0,10,pmelif
719,0.0,10,melif
720,0.0,1,pmelif
721,0.0,1,melif
722,0.0,2,pmelif
723,0.0,2,melif
724,0.0,3,pmelif
725,0.0,3,melif
726,0.0,4,pmelif
727,0.0,4,melif
728,0.1,5,pmelif
729,0.1,5,melif
730,0.1,6,pmelif
731,0.1,6,melif
732,0.1,7,pmelif
733,0.1,7,melif
734,0.1,8,pmelif
735,0.1,8,melif
736,0.1,9,pmelif
737,0.1,9,melif
738,0.1,10,pmelif
739,0.1,10,melif
740,0.0,1,pmelif
741,0.0,1,melif
742,0.0,2,pmelif
743,0.0,2,melif
744,0.0,3,pmelif
745,0.0,3,melif
746,0.0,4,pmelif
747,0.0,4,melif
748,0.0,5,pmelif
749,0.0,5,melif
750,0.0,6,pmelif
751,0.0,6,melif
752,0.0,7,pmelif
753,0.0,7,melif
754,0.0,8,pmelif
755,0.0,8,melif
756,0.0,9,pmelif
757,0.0,9,melif
758,0.0,10,pmelif
759,0.0,10,melif
760,0.0,1,pmelif
761,0.0,1,melif
762,0.0,2,pmelif
763,0.0,2,melif
764,0.1,3,pmelif
765,0.1,3,melif
766,0.1,4,pmelif
767,0.1,4,melif
768,0.1,5,pmelif
769,0.1,5,melif
770,0.1,6,pmelif
771,0.2,6,melif
772,0.1,7,pmelif
773,0.2,7,melif
774,0.1,8,pmelif
775,0.3,8,melif
776,0.1,9,pmelif
777,0.3,9,melif
778,0.2,10,pmelif
779,0.1,10,melif
780,0.0,1,pmelif
781,0.0,1,melif
782,0.0,2,pmelif
783,0.0,2,melif
784,0.0,3,pmelif
785,0.0,3,melif
786,0.0,4,pmelif
787,0.0,4,melif
788,0.0,5,pmelif
789,0.0,5,melif
790,0.0,6,pmelif
791,0.0,6,melif
792,0.0,7,pmelif
793,0.0,7,melif
